iter	Passed	Remaining
0	0	32
1	0	32
2	0	30
3	1	27
4	1	27
5	1	27
6	2	27
7	2	27
8	3	34
9	3	33
10	4	32
11	4	31
12	4	30
13	4	30
14	5	29
15	5	28
16	5	28
17	5	27
18	6	26
19	6	26
20	6	25
21	7	24
22	7	24
23	7	23
24	7	23
25	8	23
26	8	22
27	8	22
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	10	18
37	11	18
38	11	18
39	11	17
40	12	17
41	12	16
42	12	16
43	12	16
44	12	15
45	13	15
46	13	15
47	13	14
48	14	14
49	14	14
50	14	13
51	14	13
52	15	13
53	15	13
54	15	12
55	15	12
56	15	12
57	16	11
58	16	11
59	16	11
60	16	10
61	17	10
62	17	10
63	17	9
64	17	9
65	18	9
66	18	9
67	18	8
68	19	8
69	19	8
70	19	8
71	19	7
72	20	7
73	20	7
74	20	6
75	21	6
76	22	6
77	22	6
78	22	6
79	23	5
80	23	5
81	23	5
82	23	4
83	24	4
84	24	4
85	24	4
86	24	3
87	25	3
88	25	3
89	25	2
90	25	2
91	26	2
92	26	1
93	26	1
94	26	1
95	27	1
96	27	0
97	27	0
98	27	0
99	28	0
