iter	Passed	Remaining
0	55	55592
1	55	27921
2	56	18707
3	56	14127
4	57	11367
5	58	9698
6	59	8371
7	59	7365
8	59	6586
9	60	6003
10	60	5477
11	61	5048
12	61	4676
13	61	4358
14	62	4080
15	62	3839
16	62	3627
17	62	3436
18	63	3266
19	63	3112
20	63	2973
21	64	2852
22	64	2738
23	64	2634
24	65	2538
25	65	2448
26	65	2364
27	65	2286
28	66	2215
29	66	2148
30	66	2084
31	67	2027
32	67	1973
33	67	1921
34	67	1872
35	68	1825
36	68	1782
37	68	1740
38	69	1702
39	69	1664
40	69	1627
41	69	1592
42	70	1561
43	70	1531
44	70	1501
45	70	1472
46	71	1444
47	71	1419
48	71	1395
49	72	1373
50	72	1351
51	73	1333
52	73	1316
53	74	1299
54	74	1282
55	75	1265
56	75	1249
57	75	1232
58	76	1219
59	76	1204
60	77	1188
61	77	1174
62	77	1158
63	78	1144
64	78	1131
65	78	1117
66	79	1103
67	79	1090
68	79	1077
69	80	1064
70	80	1052
71	80	1042
72	81	1033
73	81	1021
74	82	1012
75	82	1005
76	83	996
77	83	989
78	84	981
79	84	974
80	85	966
81	86	963
82	86	955
83	86	948
84	87	941
85	88	937
86	89	934
87	89	928
88	90	922
89	90	913
90	90	908
91	91	902
92	91	896
93	92	890
94	92	883
95	93	877
96	93	869
97	93	862
98	94	857
99	94	853
100	95	848
101	95	845
102	96	842
103	98	845
104	98	840
105	99	835
106	99	831
107	100	826
108	100	822
109	101	817
110	101	813
111	101	808
112	102	804
113	102	799
114	103	794
115	103	790
116	104	785
117	104	781
118	104	776
119	105	771
120	105	766
121	105	760
122	105	755
123	106	750
124	106	746
125	106	742
126	107	736
127	107	732
128	107	727
129	108	723
130	108	718
131	108	714
132	108	709
133	109	705
134	109	701
135	109	696
136	110	693
137	110	689
138	110	685
139	110	681
140	111	677
141	111	673
142	111	669
143	112	665
144	112	662
145	112	660
146	113	657
147	113	653
148	113	650
149	114	646
150	114	643
151	114	640
152	115	637
153	115	633
154	115	630
155	116	627
156	116	625
157	116	622
158	117	620
159	117	618
160	117	614
161	118	613
162	119	612
163	119	609
164	119	607
165	120	604
166	120	602
167	120	599
168	121	596
169	121	593
170	121	590
171	122	587
172	122	585
173	122	582
174	123	580
175	123	577
176	123	575
177	124	573
178	124	571
179	124	568
180	125	566
181	125	563
182	125	560
183	125	558
184	126	555
185	126	553
186	126	550
187	126	548
188	127	546
189	127	543
190	127	541
191	128	539
192	128	536
193	128	534
194	128	532
195	129	530
196	129	527
197	129	525
198	130	523
199	130	521
200	130	519
201	130	517
202	131	515
203	131	512
204	131	510
205	131	508
206	132	506
207	132	504
